/home/gst2d/localstorage/public/coms7900-data/binary/bdatafile00501.bin
            TargetID	      0.01	      0.05	       0.1
         10000000001	         5	       261	       413
         10000000002	         0	         2	        29
         10000000003	         0	         4	        16
         10000000004	         0	        15	        93
         10000000005	         0	         2	        12
         10000000006	         0	       288	       393
         10000000007	         0	         0	         6
         10000000008	         0	         1	         7
         10000000009	         4	       250	       410
         10000000010	         0	         1	         9
         10000000011	         0	         8	        73
         10000000012	         0	         0	         0
         10000000013	         0	         0	         3
         10000000014	         0	         4	        41
         10000000015	         5	       320	       363
         10000000016	         0	         7	        42
         10000000017	         0	         0	         6
         10000000018	         0	         1	        17
         10000000019	         0	         8	        48
         10000000020	         0	         1	         9
         10000000021	         0	        11	       114
         10000000022	         0	         4	        12
         10000000023	        16	       351	       362
         10000000024	         0	         1	        13
         10000000025	         0	         7	        22
         10000000026	         0	         4	        24
         10000000027	         0	         0	         8
         10000000028	         0	         0	         9
         10000000029	         0	         0	         0
         10000000030	         0	         0	         0
         10000000031	         0	         2	         6
         10000000032	         0	         0	         3
         10000000033	         0	         2	        14
         10000000034	         0	         0	         5
         10000000035	         0	        17	        79
         10000000036	         0	        10	        45
         10000000037	         0	        12	        69
         10000000038	         0	        17	        81
         10000000039	         0	         2	        12
         10000000040	         0	         1	        11
         10000000041	         0	       270	       364
         10000000042	         0	        10	        63
         10000000043	         0	         6	        27
         10000000044	         0	         0	         3
         10000000045	         0	         4	        56
         10000000046	         0	         8	        77
         10000000047	         0	         0	         0
         10000000048	         0	         0	         5
         10000000049	         0	         2	        10
         10000000050	         0	         2	         6
         10000000051	         0	         0	         0
         10000000052	         5	       249	       409
         10000000053	        10	       307	       412
         10000000054	         0	         0	         6
         10000000055	         0	         0	         0
         10000000056	         0	         0	        16
         10000000057	         0	         0	         2
         10000000058	         0	         9	        49
         10000000059	         0	         0	         0
         10000000060	         0	         5	        51
         10000000061	         0	         1	        11
         10000000062	         1	       150	       390
         10000000063	         0	         0	         7
         10000000064	         0	         2	        14
         10000000065	         0	         1	        10
         10000000066	         0	         1	        16
         10000000067	         0	         2	         9
         10000000068	         0	         0	         5
         10000000069	         6	       326	       393
         10000000070	         0	         0	         6
         10000000071	         0	         0	         0
         10000000072	         0	         4	        31
         10000000073	         0	         0	         0
         10000000074	         1	         1	         9
         10000000075	         3	       317	       395
         10000000076	         0	         0	         4
         10000000077	         0	         4	        15
         10000000078	         0	         7	        45
         10000000079	         0	         2	        16
         10000000080	         0	         0	         1
         10000000081	         0	         3	        56
         10000000082	         0	         2	        12
         10000000083	         0	         0	         9
         10000000084	         0	         3	        29
         10000000085	         0	         0	         4
         10000000086	         0	         0	         0
         10000000087	         0	         2	         5
         10000000088	         0	         0	         8
         10000000089	         0	         1	        25
         10000000090	         0	         0	         4
         10000000091	         0	         0	         1
         10000000092	         0	         2	        12
         10000000093	         0	         0	         5
         10000000094	         1	         1	        15
         10000000095	         0	         0	         9
         10000000096	         0	         0	         0
         10000000097	         0	         1	        13
         10000000098	         0	         5	        46
         10000000099	         1	        16	        88
         10000000100	         0	         0	         0
         10000000101	         0	         0	         0
         10000000102	         0	         3	        15
         10000000103	         0	         1	         8
         10000000104	        14	       341	       362
         10000000105	         0	         3	        20
         10000000106	         0	        12	        68
         10000000107	         0	         1	        11
         10000000108	         0	         4	        27
         10000000109	         0	         0	         0
         10000000110	         0	         0	         6
         10000000111	         4	       309	       364
         10000000112	         0	        16	        74
         10000000113	         0	         1	        21
         10000000114	         0	         0	         3
         10000000115	         0	         0	         2
         10000000116	         0	         1	         8
         10000000117	         0	         4	        13
         10000000118	         0	        10	        58
         10000000119	         0	         3	        12
         10000000120	         0	         1	         9
         10000000121	         0	         0	         3
         10000000122	         0	         7	        34
         10000000123	         0	         3	        25
         10000000124	         0	       264	       394
         10000000125	         0	         3	        17
         10000000126	         0	         0	         2
         10000000127	         0	         1	         6
         10000000128	         0	         0	         0
         10000000129	         0	         0	         8
         10000000130	         0	         2	        15
         10000000131	         0	         1	         9
         10000000132	         0	         0	        18
         10000000133	         0	         2	        34
         10000000134	         0	         0	         0
         10000000135	         0	         0	        20
         10000000136	         0	         5	        43
         10000000137	         0	         1	         6
         10000000138	         0	         0	         7
         10000000139	         0	         4	        31
         10000000140	         0	         1	         4
         10000000141	         0	         0	         6
         10000000142	         0	         0	         7
         10000000143	         0	         1	         6
         10000000144	         0	         2	        55
         10000000145	         0	         0	         2
         10000000146	         0	         1	         4
         10000000147	         0	         0	         7
         10000000148	         0	         8	        47
         10000000149	         8	       326	       395
         10000000150	         0	         0	         8
         10000000151	         0	         4	        33
         10000000152	         0	         0	         0
         10000000153	         0	         0	        11
         10000000154	         2	       299	       362
         10000000155	         0	         0	         0
         10000000156	         0	         6	        29
         10000000157	         0	         1	         6
         10000000158	         0	         0	         6
         10000000159	         0	         0	         0
         10000000160	         0	         2	        14
         10000000161	         0	         1	         4
         10000000162	         0	         3	        20
         10000000163	         0	         3	        29
         10000000164	         0	         0	         0
         10000000165	         0	         0	        13
         10000000166	         0	        96	       383
         10000000167	         0	         3	        22
         10000000168	         0	         1	         4
         10000000169	         0	         0	         0
         10000000170	         0	         1	         7
         10000000171	         1	       240	       395
         10000000172	         0	         0	         6
         10000000173	         0	         9	        55
         10000000174	         1	       109	       383
         10000000175	         0	         0	         7
         10000000176	         0	         0	         5
         10000000177	         0	         1	         6
         10000000178	         0	         0	         3
         10000000179	         0	         0	         6
         10000000180	         0	         0	         5
         10000000181	         0	         1	        17
